,ID_SALES,text,text_clean,Sentiment
23,HD3211A," it's 9:56, and the desk attendant stated we would ""sit awhile"" until given the all clear. Lack of communication seems to the norm.", it s 9 56 and the desk attendant stated we would sit awhile until given the all clear lack of communication seems to the norm ,negative
24,HD1124A, Lost my wallet on flight 1007 yesterday from Houston to Bogota. Filled out your online form. No response yet., lost my wallet on flight 1007 yesterday from houston to bogota filled out your online form no response yet ,negative
25,HD2172A, flight is already over. I think the airline should just have the flight attendants actually emphasize that VAPE is still smoking, flight is already over i think the airline should just have the flight attendants actually emphasize that vape is still smoking,neutral
26,HS858A,. I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy., i don t understand why you need a dm to give me an answer on if you have a damaged luggage policy ,negative
27,HS3525A, had to be stuck in the middle seat :( http://t.co/dzeGAPfqw1, had to be stuck in the middle seat ,negative
28,HVP2092T, Stop trying to make #fleek happen! #PointsMe, stop trying to make fleek happen pointsme,neutral
29,HY969A," done. Sorry, I thought I was already.", done sorry i thought i was already ,negative
30,HD3305T," Got an email about an itinerary change, but can't seem to get to anyone on phone. New flight time doesn't work for me. Help?", got an email about an itinerary change but can t seem to get to anyone on phone new flight time doesn t work for me help ,negative
31,HD1686A, Thanks! See you soon!, thanks see you soon ,positive
32,HD1729T," Not here yet, but I plan on it. If you could have them fly low and slow right in front of me, that would be great. ;-)", not here yet but i plan on it if you could have them fly low and slow right in front of me that would be great ,positive
33,HC3690A,  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then., is there a better time to call my flight is on friday and i need to change it worried i may be on hold until then ,negative
34,HS322A," 
No one answers phone, delayed/Cancelled Flightled flights. Rude employees. You only get (I'm sorry, we apologize) blah blah blah. Bad", no one answers phone delayed cancelled flightled flights rude employees you only get i m sorry we apologize blah blah blah bad,negative
35,HD3362A, #UnitedAirlines Any other way ORD to ABQ anytime within the next 7 hours?, unitedairlines any other way ord to abq anytime within the next 7 hours ,neutral
36,HD4749A, Flight 4315 (N231WN) taxis at @FlyTPA prior to flight to @Fly_Nashville http://t.co/IDRa8keNoH, flight 4315 n231wn taxis at prior to flight to _nashville ,neutral
37,HD1706T, a worker just checked for ice on our plane using his cell phone flashlight! Really?! Come on!, a worker just checked for ice on our plane using his cell phone flashlight really come on ,neutral
38,HD3946A,. DAY to IAD and CVG to IAD both Cancelled Flightled by United but all other airlines operating. Friend stuck and now miss intl flight. Help?, day to iad and cvg to iad both cancelled flightled by united but all other airlines operating friend stuck and now miss intl flight help ,negative
39,HD2611A, Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(, is there an issue with your website and logging on app too i know i am entering info correctly but cannot sign in ,negative
40,HD2051A, now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother, now what flight was gone when i got off plane businesstravel goodenoughmother,neutral
41,HD4008A, You guys really suck! I just spent 40 minutes on the phone linking my credits to my account.  They are still NOT there! 1/2, you guys really suck i just spent 40 minutes on the phone linking my credits to my account they are still not there 1 2,negative
42,ST4323A," delayed 2.5 hours @longbeachairport trying to get to @PHXSkyHarbor; give us an update, please???", delayed 2 5 hours trying to get to give us an update please ,negative
43,HD1319A, flight 614 keeps telling a few more mins to take off its been an hour. First time with you not the best #lies #brokenpromises, flight 614 keeps telling a few more mins to take off its been an hour first time with you not the best lies brokenpromises,negative
44,HC843A, Yes. Please train your customer service agents with correct protocol.. I should not be receiving different 411 evrytime I call, yes please train your customer service agents with correct protocol i should not be receiving different 411 evrytime i call,negative
45,HD3840A," Don't know her last name, but Karen at your call center is terrific.  Friendly, helpful.  Terrific representative. Kudos.", don t know her last name but karen at your call center is terrific friendly helpful terrific representative kudos ,positive
46,HS2183A, @CNN @nbsnewsr @cnnbrk except you aren't working with her  youve done nothing to help, except you aren t working with her youve done nothing to help,negative
47,HD4847A, thank you! I tried that and they said they didn't have it. Anywhere else to try?, thank you i tried that and they said they didn t have it anywhere else to try ,positive
48,SG1057A, you call this a window seat? #airbus321seat14Fproblems http://t.co/ZKOE6clGiU, you call this a window seat airbus321seat14fproblems ,neutral
49,HD4182A," Define ""sincerely"". Your actions do not reflect what you're saying in a poor attempt to redeem yourselves on social media.", define sincerely your actions do not reflect what you re saying in a poor attempt to redeem yourselves on social media ,negative
50,HD3989A," yes starting w/ flight 1278, getting me home more than 48 hours Late Flightr. record locator BSUXLU", yes starting w flight 1278 getting me home more than 48 hours late flightr record locator bsuxlu,neutral
51,HD305T, is your website down? I haven't been able to check in to my flight all morning., is your website down i haven t been able to check in to my flight all morning ,neutral
52,HD1845A, Oh I will. #Disney bound. #workhard #playsoon, oh i will disney bound workhard playsoon,positive
53,HO2766A, usually raving about the service to LAX. Your nbr1 and helper can't figure out how to hang a coat and serve a drink. 6F, usually raving about the service to lax your nbr1 and helper can t figure out how to hang a coat and serve a drink 6f,neutral
54,SK2610A, plus you horrible seating and poor customer service everywhere I've flown. now you take away the mileage program..horrible, plus you horrible seating and poor customer service everywhere i ve flown now you take away the mileage program horrible,negative
55,HD4789A, I did 50 times and no one was helpful I'm missing work nd school nd the manager REM from mia told me he didn't want to talk us, i did 50 times and no one was helpful i m missing work nd school nd the manager rem from mia told me he didn t want to talk us,negative
56,SK3798T, on our way now, on our way now,neutral
57,HD4540A, is this account even aware of the #destinationdragons contest? The one youre fucking up for me?, is this account even aware of the destinationdragons contest the one youre fucking up for me ,negative
58,HD740T, what happens if it isn't located, what happens if it isn t located,neutral
59,HD2527A, testing my patience this evening (or shall I say morning?). We waited an hour at the gate for you to find a gate agent.  130am, testing my patience this evening or shall i say morning we waited an hour at the gate for you to find a gate agent 130am,positive
60,HD593A, i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet, i need it there before she lands so she can have the ewr baggage claim file to have it sent but the employee has not droppeditoffyet,neutral
61,CC242A, continues to prove to be the best airlines Å”ĀĀÅ, continues to prove to be the best airlines ,positive
62,SG4931T, you have to follow me in order for me to DM...come on now, you have to follow me in order for me to dm come on now,neutral
63,HS1717A, So disappointed in the service and the level of staff communication. Such a bummer., so disappointed in the service and the level of staff communication such a bummer ,negative
64,HD590A, got this message on your site to call about my flight - just gave up after being on hold for 3 HOURS! http://t.co/5cDX2ROAE6, got this message on your site to call about my flight just gave up after being on hold for 3 hours ,negative
65,HG4382A,  your person taking tickets is rude and now we are delayed 4-50 minutes because you overfilled fuel on the plane #500., your person taking tickets is rude and now we are delayed 4 50 minutes because you overfilled fuel on the plane 500 ,negative
66,HC852A, any word on whether or not flight 1971 from Seattle to Charlotte will have connections held? Or..., any word on whether or not flight 1971 from seattle to charlotte will have connections held or ,neutral
67,HS906A, - I am Platinum.  I am flying USAir and they have stranded me in CLT.  Not answering phones. Did not rebook me.  Please help?, i am platinum i am flying usair and they have stranded me in clt not answering phones did not rebook me please help ,neutral
68,HD4896A," yes, you can. I will DM.", yes you can i will dm ,neutral
69,HD984A, thank you, thank you,positive
70,HH3042A, Can't beat the storm out of town if you wait to issue the policy until too Late Flight.  NWS issued storm warning already..., can t beat the storm out of town if you wait to issue the policy until too late flight nws issued storm warning already ,negative
71,HD3858T," 1hr delay at the start, huge queues at security, no representative to meet us, rude staff at baggage reclaim  #inefficient", 1hr delay at the start huge queues at security no representative to meet us rude staff at baggage reclaim inefficient,negative
72,HD1450A, living in DFW.. Your Hub.. Hate having to fly to JFK to get to Ireland, living in dfw your hub hate having to fly to jfk to get to ireland,negative
73,HC3873A, Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!, over charged me one way for baggage find out others leaving pittsburgh with same equipment weren t charged just hung up on me ,neutral
74,HN1429A, help! I've been on hold for almost two hours. Trying 2 get home., help i ve been on hold for almost two hours trying 2 get home ,neutral
75,HD4028A," I'm excited too, but perhaps you could scale your excitement back by a few weeks...", i m excited too but perhaps you could scale your excitement back by a few weeks ,neutral
76,HD2569A, word thanks, word thanks,positive
77,HD1795A, - why does my TSA-pre work with every airline BUT you? I pay good money for that. Spent 30 mins on phone to fix to zero success., why does my tsa pre work with every airline but you i pay good money for that spent 30 mins on phone to fix to zero success ,positive
78,HD2920A, alright thank you. Much appreciated., alright thank you much appreciated ,positive
79,HD2631A," flight 1388 tomorrow 5:15 am, status please, thanks", flight 1388 tomorrow 5 15 am status please thanks,positive
80,HD1592T," I fly back to Omaha for my grandmothers funeral, you Cancelled Flight my return flight and dont bother to notify me. Thanks a lot.", i fly back to omaha for my grandmothers funeral you cancelled flight my return flight and dont bother to notify me thanks a lot ,positive
81,HD687A," - why can't the gate agent on flight #759 provide an update? Seriously, this is ridiculous how long people have been waiting", why can t the gate agent on flight 759 provide an update seriously this is ridiculous how long people have been waiting,negative
82,HD1650A,". nice 2 know. I paid 4 a seat. Then you sold my seat. now I bought a 3rd seat. It's a good scam, but a scam all the same.", nice 2 know i paid 4 a seat then you sold my seat now i bought a 3rd seat it s a good scam but a scam all the same ,negative
83,HO273A, leave our luggage in the baggage claim without any previous information! That's not the deal!! http://t.co/oTTy5rYMzD, leave our luggage in the baggage claim without any previous information that s not the deal ,negative
84,HN2530A, thank you!, thank you ,positive
85,HD4945A," Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United", now arriving a day and a half late flightr than supposed to lesson of the day don t believe verbal or written confirmations from united,negative
86,HC4215A, thx for showing me that your Twitter appreciates me more than your employees. Sure another airline would like my $1300 #nohotel, thx for showing me that your twitter appreciates me more than your employees sure another airline would like my 1300 nohotel,positive
87,HD3351A, @karajusto SWA is willing to follow up. FINALLY., swa is willing to follow up finally ,neutral
88,HD884A," 100% I will put together a very serious email, with all the issues that arose on our vacation due to your staff I will post it here", 100 i will put together a very serious email with all the issues that arose on our vacation due to your staff i will post it here,neutral
89,HD232A, marks 15th birthday with @Airbus #A320 painted in 'Blumanity' paint job http://t.co/9vTFM7kNad, marks 15th birthday with a320 painted in blumanity paint job ,neutral
90,HC2022A, Thanks for your great customer service today &amp; for helping me get all my travel sorted out!, thanks for your great customer service today for helping me get all my travel sorted out ,positive
91,HG4803T, you are beyond redemption. Jfk. Baggage claim looks like a luggage warehouse, you are beyond redemption jfk baggage claim looks like a luggage warehouse,neutral
92,HD2581A," used to exclusively fly SW, but Late Flightly, direct flights &amp; cheaper costs have me switched. Å”ĀĀĀ why...so... few...direct...flights?", used to exclusively fly sw but late flightly direct flights cheaper costs have me switched why so few direct flights ,negative
93,HD2356A," I know there's no actual 'mile high' club, but surely there's something I can join ;-)", i know there s no actual mile high club but surely there s something i can join ,neutral
94,HD1841A," to top it all off, your flight attendants talked loudly throug the flight, even when the lights were dimmed. Resulting in no sleep", to top it all off your flight attendants talked loudly throug the flight even when the lights were dimmed resulting in no sleep,negative
95,HC2471A,Why we can't have nice things. RT : Our fleet's on fleek. http://t.co/HP9RPPCvHx,why we can t have nice things rt our fleet s on fleek ,negative
96,ST3405A, I'm sick of living in an airport!! #getittogether, i m sick of living in an airport getittogether,negative
97,HS3038A, serious attitude. I was in the fault for running a tad behind but before she even knew my name or my flight info she ASSURED Me, serious attitude i was in the fault for running a tad behind but before she even knew my name or my flight info she assured me,negative
98,HD729T, @dfwairport got rebooked through the AA online app., got rebooked through the aa online app ,neutral
99,HW1725A, told to work it out ourselves #joke #fail, told to work it out ourselves joke fail,negative
100,HVP4554T, so is the ^JJ standing for Just Joking?  I am not finding the humor., so is the jj standing for just joking i am not finding the humor ,negative
101,HD4516A," from San Diego with a 4 hour delay to JFK!Even you have a Amex  JetBlue, even having over 50.000 travel miles, you're still nothing", from san diego with a 4 hour delay to jfk even you have a amex jetblue even having over 50 000 travel miles you re still nothing,negative
102,HD963T, flight Cancelled Flighted! I'm trying to get to #chicago. What are me and @justynmoro gonna do. #flying#flight#travel, flight cancelled flighted i m trying to get to chicago what are me and gonna do flyingflighttravel,negative
103,HD2454A, THANK YOU! I am your new big fan :), thank you i am your new big fan ,positive
104,HD1392A, Why announce it is for rollers at all? If I want to put a coat in there isn't that my choice?  How about all gate checked? Thx, why announce it is for rollers at all if i want to put a coat in there isn t that my choice how about all gate checked thx,positive
105,HN4497A, can you please make sense of the companion promo? How to we set it up?, can you please make sense of the companion promo how to we set it up ,neutral
106,HF1271A, Are you expecting any delays out of #DFW tomorrow morning?, are you expecting any delays out of dfw tomorrow morning ,negative
107,HC464A, always makes our cross country flights rad. @hemispheresmag here's baby flier Charlotte! #8thtime5MonthsOld http://t.co/kCqnwIXUCm, always makes our cross country flights rad here s baby flier charlotte 8thtime5monthsold ,neutral
108,HC1363A, Awesome. Thanks! You guys rock!, awesome thanks you guys rock ,positive
109,SC3409A, congrats on treating your customers the worst way possible. I know plenty of other ppl who have had horrible experience w you too, congrats on treating your customers the worst way possible i know plenty of other ppl who have had horrible experience w you too,negative
110,HS2355A, unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight, unfortunately still on the tarmac at 2ohare and definitely missing my ride from gonnabealongnight,negative
111,HVP3396T, delayed agAin by United. Gate agent was borderline rude when I asked her a flight status question. What is happening to United?, delayed again by united gate agent was borderline rude when i asked her a flight status question what is happening to united ,negative
112,HD4395T," got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.", got a flight we were told for 4 50 today checked my email and its for 4 50 tomorrow this is unacceptable ,negative
113,HVP500T," I think that flight was supposed to go to Houston as well, in case someone could check that?", i think that flight was supposed to go to houston as well in case someone could check that ,neutral
114,HD2261A," no, I have a pricey Chase Mileage Plus CC.", no i have a pricey chase mileage plus cc ,negative
115,HD2232T," Yes, filled out the form last year. Don't have case number handy. Guess I'm not cut out for the historical society afterall", yes filled out the form last year don t have case number handy guess i m not cut out for the historical society afterall,negative
116,HS2675A, Stuck in this airport 12 hours in standbys cuz the pilot showed up Late Flight in PJs &amp; i missed my connectin flight. PJ's I TELL U! #NYFW, stuck in this airport 12 hours in standbys cuz the pilot showed up late flight in pjs i missed my connectin flight pj s i tell u nyfw,negative
117,HD3824A," truly the best in #customerservice.  If something goes wrong, no matter how big or small the issue was, they fix it. Thank you", truly the best in customerservice if something goes wrong no matter how big or small the issue was they fix it thank you,positive
118,HD4675A, Thank you for your time!, thank you for your time ,positive
119,HC190A," awesome, thanks!", awesome thanks ,positive
120,SC1493A, Suggestions: tell customers approximate wait times when they are on hold (50 min now...) and allow them to Cancelled Flight online!, suggestions tell customers approximate wait times when they are on hold 50 min now and allow them to cancelled flight online ,negative
121,HD2181A, you Cancelled Flightled my flight to EWR. Flt 3076. U also Cancelled Flightled flights to LGA. Yet  is flying on time to both. WTH??, you cancelled flightled my flight to ewr flt 3076 u also cancelled flightled flights to lga yet is flying on time to both wth ,negative
122,HD1447T,ÄĀĀ: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckcÄĀĀ @JenniferDawnPro, book out of town with fares from 59 way restr ,neutral
123,HD4499A, How do I formally complain about your customer service handler who misconnected me. I was denied boarding &amp; I now lost my bag. Help!, how do i formally complain about your customer service handler who misconnected me i was denied boarding i now lost my bag help ,negative
124,HD26T," 4 segments, 4/4 delayed. Gnv &gt; CTL . CTL &gt; JAN . JAN &gt; CTL . CTL &gt; GNV. My year off from flying with you guys was the way to go.", 4 segments 4 4 delayed gnv gt ctl ctl gt jan jan gt ctl ctl gt gnv my year off from flying with you guys was the way to go ,negative
125,HVP3094T, no date on when revieving our money sent a letter in post and several emails no reply?? very frustrated, no date on when revieving our money sent a letter in post and several emails no reply very frustrated,negative
126,HD3931A," you have my money, you change my flight, and don't answer your phones! Any other suggestions so I can make my commitment??", you have my money you change my flight and don t answer your phones any other suggestions so i can make my commitment ,neutral
127,HD2963A," , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?", am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next ,neutral
128,HS3111A, so much for being here to help. Very disappointed in your customer service., so much for being here to help very disappointed in your customer service ,negative
129,HD3912A, 3 hours to rebook but 8 hours l8r the same problem again. Arrive at gate stopped cause now infant is sitting in 4 yr old lap, 3 hours to rebook but 8 hours l8r the same problem again arrive at gate stopped cause now infant is sitting in 4 yr old lap,negative
130,HC3881A, okay. I just sent it., okay i just sent it ,negative
131,HD2806A," I hope so, too. Thank you for your help. She traveled halfway across the globe and just wants her suitcase.", i hope so too thank you for your help she traveled halfway across the globe and just wants her suitcase ,positive
132,HD3568A, @Jack_Kairys your site clearly explains we are allowed a carry on. This was allowed at PIT but not BOS. How does that make sense?, _kairys your site clearly explains we are allowed a carry on this was allowed at pit but not bos how does that make sense ,neutral
133,HD136A, to start daily #B737-700 flights from #Washington Reagan to #FtLauderdale on 8AUG #avgeek, to start daily b737 700 flights from washington reagan to ftlauderdale on 8aug avgeek,neutral
134,HD3559A,", I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!", i ve tried no less than 8 times today to get in touch with your service desk beginning at 8 30 est i m having no luck help ,negative
135,HD1972T, that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs, that s exactly the point it fits i m premier access boarding group 2 this was a return ticket i ve been doing this for 15 yrs,neutral
136,SG186A, Horrible service @loganairports. Luggage got destroyed on flight and woman at baggage service was so rude. Didn't help at all., horrible service luggage got destroyed on flight and woman at baggage service was so rude didn t help at all ,negative
137,ST1934A, 25 min hold has now progressed to over an hour...919-675-0985, 25 min hold has now progressed to over an hour 919 675 0985,neutral
138,HD1410A, I'm glad @Beamske retweeted otherwise you would have to ignore the numerous tweets I sent. You all are fucking amazing, i m glad retweeted otherwise you would have to ignore the numerous tweets i sent you all are fucking amazing,positive
139,HC205A, @flightspots about time! #mobileboarding is a must!, about time mobileboarding is a must ,neutral
140,SG352A, @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair, seattle bound wifey got me the duffle for vday she s a keeper holla ,positive
141,CD2990A, 1) I was on 1610 today to YYZ. I had a bit of a bag issue that was cleared up beautifully. Thank you to all of the check in, 1 i was on 1610 today to yyz i had a bit of a bag issue that was cleared up beautifully thank you to all of the check in,positive
142,SC3739A, I hope not to see the same issue on my return flight tomorrow, i hope not to see the same issue on my return flight tomorrow,negative
143,CD2039A, that's great! pls let me know when u start!, that s great pls let me know when u start ,positive
144,HN818A," Wonder why people hate dealing with airlines?  Ridiculous and inflexible ""policies"".  I need a phone number and a resolution.  Now.", wonder why people hate dealing with airlines ridiculous and inflexible policies i need a phone number and a resolution now ,negative
145,HD4037A, can I bring a copy or photo of my baby's birth certificate for the flight? I feel uncomfortable traveling with the real thing., can i bring a copy or photo of my baby s birth certificate for the flight i feel uncomfortable traveling with the real thing ,negative
146,HD1926A," I'm not sure if you can do anything to help me with that, but if you can that'd be great.", i m not sure if you can do anything to help me with that but if you can that d be great ,positive
147,HD1302A, how comes no one has answered my calls or emails?, how comes no one has answered my calls or emails ,neutral
148,HD1811A, sent, sent,negative
149,HG3459T, will there a non-stop flight from Midway to Boise for this summer season? Looking to book at labor day trip.  Ty, will there a non stop flight from midway to boise for this summer season looking to book at labor day trip ty,positive
150,HD1133T, booked our flights this morning. Can't wait to move about the country., booked our flights this morning can t wait to move about the country ,positive
151,HD4388A, car accident on my way to the airport. Missed flight from rno to dca. Trying to resched but your line has 2 hr wait, car accident on my way to the airport missed flight from rno to dca trying to resched but your line has 2 hr wait,negative
152,CD1181A, the best airline in the world, the best airline in the world,positive
153,HZ1217T," flight was scheduled for 11:56, it's 1:05 and we haven't moved. I have never been on a flight where everyone moved without a sense", flight was scheduled for 11 56 it s 1 05 and we haven t moved i have never been on a flight where everyone moved without a sense,neutral
154,ST4891A, my sister and her family had to drive 1200 miles because you did not accommodate a rebook in a timely manner! HORRIBLE, my sister and her family had to drive 1200 miles because you did not accommodate a rebook in a timely manner horrible,negative
155,HD4294T," 24 hrs Late Flightr still not home. Hotel, rental car etc with a 5 yr old, what happened to ""customer service is our first priority""", 24 hrs late flightr still not home hotel rental car etc with a 5 yr old what happened to customer service is our first priority ,neutral
156,HD610A, YES please....How do we get that companion pass?, yes please how do we get that companion pass ,neutral
157,HN1197A," As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers.", as one of the travelers affected by the boston storm i m shocked at virgin s complete apathy toward their customers ,negative
158,HD406A," $192 rndtrp 4/30-5/5 ""@DJQ_KC: RT @djimpact: If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight""", 192 rndtrp 4 30 5 5 _kc rt if you re trying to make travel reservations for vegas on may 2nd it s too late flight ,neutral
159,HD1097A, can't update my flight online bc it's been Cancelled Flighted twice already. Going on hour 2 on hold., can t update my flight online bc it s been cancelled flighted twice already going on hour 2 on hold ,negative
160,HD1818A, that's right- with an overnight Miami., that s right with an overnight miami ,neutral
161,HD1153T, Just looking to arrange for a nice flight from SEA to LA-ish and comparing the cost to something more direct from YVR., just looking to arrange for a nice flight from sea to la ish and comparing the cost to something more direct from yvr ,positive
162,HN3249A, Customer Centricity is knowing people #ANAMarketers, customer centricity is knowing people anamarketers,neutral
163,HD1474T, my flight 1106 was Cancelled Flightled and I need to get back to Cleveland. What are my options?, my flight 1106 was cancelled flightled and i need to get back to cleveland what are my options ,negative
164,HVP2070T, the fact that that rule makes it poor customer service. I can Cancelled Flight/change on  with no penalty or hoops., the fact that that rule makes it poor customer service i can cancelled flight change on with no penalty or hoops ,negative
165,HS3432A, and waiting, and waiting,neutral
166,HD3130T, thanks for having ground crews that are surprised when flights arrive. #beingsuckontarmacsucks!, thanks for having ground crews that are surprised when flights arrive beingsuckontarmacsucks ,positive
167,HD3741A, was forced  to book a flight on a different date than originally planned for a higher price $1130 felt like a bait and switch tactic, was forced to book a flight on a different date than originally planned for a higher price 1130 felt like a bait and switch tactic,negative
168,HD597A, overall lack of attention or foresight when managing flights., overall lack of attention or foresight when managing flights ,negative
169,HD1081A, don't I always?, don t i always ,neutral
170,CD4262A,ÄĀĀ: Our fleet's on fleek. http://t.co/pr3OeBC2N2ÄĀĀ lol wut?, our fleet s on fleek lol wut ,positive
171,HD732A, so glad I've been waiting for 1 hour and 15 minutes and Ive been transferred 3 times without resolving anything. Worst service ever., so glad i ve been waiting for 1 hour and 15 minutes and ive been transferred 3 times without resolving anything worst service ever ,positive
172,HC3759A, yikes., yikes ,neutral
173,HD41A, What's the seat assignment policy? Why let us choose a seat only to change it on us two weeks Late Flightr?, what s the seat assignment policy why let us choose a seat only to change it on us two weeks late flightr ,neutral
174,SK2099A," Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?", never had a bad experience before but this one took the cake now extortion for carry on items as well ,negative
175,HD2523A, no I will be calling corporate!, no i will be calling corporate ,neutral
176,HD1448T, will do. Thx. Been sitting on plane now for 2.5 hrs and now we have to refuel!  I can't even make this stuff up., will do thx been sitting on plane now for 2 5 hrs and now we have to refuel i can t even make this stuff up ,positive
177,HD763A, US 728/Feb 21. Ground power shorts again for the third time. Weary German passenger deplanes. Makes me jealous. Auf wiedersehen!, us 728 feb 21 ground power shorts again for the third time weary german passenger deplanes makes me jealous auf wiedersehen ,negative
178,HD688A, not sure why u call it customer care.  Should be customer we don't care, not sure why u call it customer care should be customer we don t care,negative
179,HD1044A," Umm, can you define 'extra time'?", umm can you define extra time ,neutral
180,HD1170A, we appreciate auto rescheduling our Cancelled Flightled flight-- but you have nothing sooner than Tuesday? can fly into alternate loc?, we appreciate auto rescheduling our cancelled flightled flight but you have nothing sooner than tuesday can fly into alternate loc ,negative
181,HC1394A, Please try it yourself - call 1-800-433-7300 and see what happens... then you'll understand.  #allrepresentativesbusy #nooption, please try it yourself call 1 800 433 7300 and see what happens then you ll understand allrepresentativesbusy nooption,neutral
182,SD291A, the reservation system won't even let us leave our phone #. I have no way to fix that you rebooked me on wrong day!, the reservation system won t even let us leave our phone i have no way to fix that you rebooked me on wrong day ,negative
